graph_name,graph_family,directed,source,mode,threads,alpha,beta,runtime_seconds,cpu_time_seconds,total_visited,total_levels,total_edge_examinations,switch_to_bottom_up_level,switch_back_to_top_down_level,top_down_levels,bottom_up_levels,frontier_at_switch,visited_fraction_at_switch,speedup,efficiency
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,48.0,0.095414037,0.104090000,540486,15,15356630,4,9,10,5,32337,0.063215,1.1396,1.1396
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,8.0,8.0,0.088539268,0.096603000,540486,15,15508276,4,8,11,4,32337,0.063215,1.3493,1.3493
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,14.0,64.0,0.091074353,0.099373000,540486,15,15356630,4,9,10,5,32337,0.063215,1.1535,1.1535
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,8.0,16.0,0.100228733,0.109355000,540486,15,15508276,4,8,11,4,32337,0.063215,1.0195,1.0195
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,8.0,0.104089009,0.113568000,540486,15,15508276,4,8,11,4,32337,0.063215,1.3554,1.3554
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,8.0,24.0,0.086398743,0.094267000,540486,15,15508276,4,8,11,4,32337,0.063215,1.5223,1.5223
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,16.0,0.076790910,0.083790000,540486,15,15508276,4,8,11,4,32337,0.063215,1.2308,1.2308
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,8.0,32.0,0.083220465,0.090802000,540486,15,15356630,4,9,10,5,32337,0.063215,1.1744,1.1744
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,24.0,0.087112652,0.087129000,540486,15,15508276,4,8,11,4,32337,0.063215,1.1425,1.1425
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,8.0,48.0,0.078334860,0.083644000,540486,15,15356630,4,9,10,5,32337,0.063215,1.3022,1.3022
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,32.0,0.105634886,0.112795000,540486,15,15356630,4,9,10,5,32337,0.063215,1.3874,1.3874
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,8.0,64.0,0.080329460,0.087652000,540486,15,15356630,4,9,10,5,32337,0.063215,1.2684,1.2684
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,48.0,0.076313027,0.083269000,540486,15,15356630,4,9,10,5,32337,0.063215,1.3487,1.3487
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,10.0,8.0,0.078698099,0.085869000,540486,15,15508276,4,8,11,4,32337,0.063215,1.2838,1.2838
